id,text,created_at,user_id,user_name,verfied,geo,quoted,favorite,retweet,place,coordinates,media_type,media_url,media_id,rt,rt_username
1319962125792661504,@bc_212 @WERESTRUMPTAXES @OwenKnows_ @Dame_Lillard It was reported he was being recruited as a top football player… https://t.co/QhvX0do8OW,2020-10-24 11:21:09,22400509,FaithfulHopeG,False,,0,0,0,,,,,,False,
1319962126266568706,Do any of my followers have an idea of what is going on in Europe politically? I know right wing groups are getting… https://t.co/DKHAFqZI0n,2020-10-24 11:21:09,1303038602444763136,The Agorist Viking,False,,0,0,0,,,,,,False,
1319962126786572288,RT @PRINCESSBASE: Has anyone wondered why Mc Oluomo exit the country the next day thugs attacked Alausa peaceful protesters?,2020-10-24 11:21:09,169481711,🌸𝓐𝓑𝓔𝓑𝓘𝓛𝓛𝓘𝓞𝓝𝓢🌸,False,,0,0,0,,,,,,True,PRINCESSBASE
1319962126925107201,Barrow has been dealt some of the worst fucking blows by Tories over decades(!!) and now thanks to the people in We… https://t.co/XmbNvGS4DI,2020-10-24 11:21:09,4068553102,Rhona,False,,0,0,0,,,,,,False,
1319962127097073664,@EU_Commission @UN a European country. Please help me. Thank you very much 00905447193152. This is my phone number. https://t.co/2EVFE64Tf5,2020-10-24 11:21:09,1309577737678487555,محمدالحميدي,False,,0,0,0,,,,,,False,
1319962128690839553,"I kinda like this collective anti-Tory expressiveness that the country has, very justifiably, mustered up.",2020-10-24 11:21:09,628193539,Garak Lee,False,,0,0,0,,,,,,False,
1319962129840164866,RT @ngyntlinh: Just read this heartbreaking story about a white family harassing a Vietnamese family DAILY—telling them to go back to their…,2020-10-24 11:21:10,902122809878487041,Lê Hoàng Gia Mẫn,False,,0,0,0,,,,,,True,ngyntlinh
1319962130070736896,RT @SH2OSquadPH: Due to pandemic I missed the anniversary for our fan page. The page was created bcoz we feel that Suho has less promotion…,2020-10-24 11:21:10,1105331335420248065,Waiting for Junmyeon🐇Let's Love SOTY,False,,0,0,0,,,,,,True,SH2OSquadPH
1319962130150543360,RT @BritishTitan_: It’s sad seeing people’s businesses crumble from looting but in a country like Nigeria where the gap between the poor an…,2020-10-24 11:21:10,824229247866798081,FIRST_LADYˢᵀ🔱⚔️📌,False,,0,0,0,,,,,,True,BritishTitan_
1319962132151214081,RT @TheAshokSinghal: FIRs against @republic by @OfficeofUT government is nothing but murder of democracy. I strongly condemned this abuse o…,2020-10-24 11:21:10,106069949,The eternal wanderer,False,,0,0,0,,,,,,True,TheAshokSinghal
1319962132948111361,9ja my country https://t.co/fBMPGNVJBj,2020-10-24 11:21:10,1319919308907184129,General prexx,False,,0,0,0,,,,,,False,
1319962133845610496,"RT @tizzywoman: Today I share a #CupOfJoe w/ Army Vet, Tony!   “I was a GOP  for 36 years. Watching tRump control this party &amp; destroy this…",2020-10-24 11:21:11,775560946412457984,Mandy Kilpatrick,False,,0,0,0,,,,,,True,tizzywoman
1319962134407761921,Foreign policy experts in the U.S. have much different views about threats to the country than the general public… https://t.co/gXuefuBAto,2020-10-24 11:21:11,2186543572,Suzanne OConnell,False,,0,0,0,,,photo,https://pbs.twimg.com/media/ElFyYsqWAAA-NYS.jpg,1.3199619344274555e+18,False,
